State,Capital,Latitude,Longtitude,Total_Domestic_Visitors_000,Receipts_RM_million,FlagURL
Johor,Johor Bahru,1.478402,103.756835,79984,35443,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/johor-removebg-preview.png
Kedah,Alor Setar,6.1281,100.3433,81377,25195,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/kedah-removebg-preview.png
Kelantan,Kota Bharu,6.130404,102.235248,52611,20281,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/kelantan-removebg-preview.png
Melaka,Melaka Tengah,2.2718,102.286,78196,31561,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/melaka-removebg-preview.png
Negeri Sembilan,Seremban,2.7226,101.9415,76779,26157,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/negeri_sembilan-removebg-preview.png
Pahang,Kuantan,3.821887,103.332424,96055,37154,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/pahang-removebg-preview.png
Pulau Pinang,George Town,5.409352,100.336939,79626,30732,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/pulau_pinang-removebg-preview.png
Perak,Ipoh,4.605162,101.07942,108071,35694,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/perak-removebg-preview.png
Perlis,Kangar,6.462,100.1685,10577,3012,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/perlis-removebg-preview.png
Sabah,Kota Kinabalu,5.9587,116.0825,103008,37709,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/sabah-removebg-preview.png
Sarawak,Kuching,1.7208,110.3425,106113,41857,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/sarawak-removebg-preview.png
Selangor,Shah Alam,3.534833,101.1576,168755,70545,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/selangor-removebg-preview.png
Terengganu,Kuala Terengganu,5.315637,103.095697,74012,27132,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/terengganu-removebg-preview.png
Kuala Lumpur,Kuala Lumpur,3.196267,101.7366,294344,58856,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/kuala_lumpur-removebg-preview.png
Labuan,Labuan,5.28686,115.249747,2187,1474,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/labuan-removebg-preview.png
Putrajaya,Putrajaya,2.93279,101.6776,9593,3894,https://raw.githubusercontent.com/HONG1D/FIT3179A2/29a984f9ee567bf137463c1d2835b02880dba806/cleaned_flags/putrajaya-removebg-preview.png





