State,Year,Visitors_000,Growth_Rate
Johor,2017,13141,
Johor,2018,13487,2.64
Johor,2019,14274,5.84
Johor,2020,7243,-49.26
Johor,2021,3658,-49.5
Johor,2022,12376,238.37
Johor,2023,15805,27.7
Kedah,2017,13305,
Kedah,2018,14480,8.84
Kedah,2019,14831,2.42
Kedah,2020,10108,-31.85
Kedah,2021,4023,-60.2
Kedah,2022,11186,178.06
Kedah,2023,13444,20.18
Kelantan,2017,9624,
Kelantan,2018,9846,2.31
Kelantan,2019,10986,11.57
Kelantan,2020,6058,-44.85
Kelantan,2021,1921,-68.29
Kelantan,2022,6627,245
Kelantan,2023,7549,13.92
Melaka,2017,12625,
Melaka,2018,13123,3.94
Melaka,2019,13979,6.53
Melaka,2020,7275,-47.96
Melaka,2021,3878,-46.69
Melaka,2022,11757,203.17
Melaka,2023,15559,32.33
Negeri Sembilan,2017,10822,
Negeri Sembilan,2018,12802,18.29
Negeri Sembilan,2019,13303,3.91
Negeri Sembilan,2020,7918,-40.48
Negeri Sembilan,2021,5485,-30.72
Negeri Sembilan,2022,11490,109.48
Negeri Sembilan,2023,14959,30.19
Pahang,2017,16491,
Pahang,2018,18111,9.82
Pahang,2019,18498,2.13
Pahang,2020,9905,-46.45
Pahang,2021,3405,-65.63
Pahang,2022,13189,287.37
Pahang,2023,16456,24.77
Pulau Pinang,2017,12643,
Pulau Pinang,2018,14450,14.3
Pulau Pinang,2019,15411,6.64
Pulau Pinang,2020,8929,-42.06
Pulau Pinang,2021,5061,-43.32
Pulau Pinang,2022,10003,97.65
Pulau Pinang,2023,13128,31.24
Perak,2017,20110,
Perak,2018,17553,-12.71
Perak,2019,21070,20.04
Perak,2020,13173,-37.48
Perak,2021,4489,-65.92
Perak,2022,14567,224.48
Perak,2023,17108,17.44
Perlis,2017,1414,
Perlis,2018,2156,52.48
Perlis,2019,2088,-3.16
Perlis,2020,1193,-42.84
Perlis,2021,407,-65.9
Perlis,2022,1669,310.32
Perlis,2023,1951,16.87
Sabah,2017,17792,
Sabah,2018,20360,14.43
Sabah,2019,22035,8.23
Sabah,2020,10337,-53.09
Sabah,2021,3815,-63.09
Sabah,2022,12589,229.99
Sabah,2023,16080,27.73
Sarawak,2017,17670,
Sarawak,2018,19380,9.68
Sarawak,2019,19793,2.13
Sarawak,2020,9393,-52.54
Sarawak,2021,6511,-30.69
Sarawak,2022,15465,137.52
Sarawak,2023,17901,15.76
Selangor,2017,25491,
Selangor,2018,30179,18.39
Selangor,2019,3589,11.3
Selangor,2020,19715,-41.31
Selangor,2021,10212,-48.2
Selangor,2022,21990,115.34
Selangor,2023,27579,25.42
Terengganu,2017,12979,
Terengganu,2018,13742,5.88
Terengganu,2019,14158,3.03
Terengganu,2020,7420,-47.59
Terengganu,2021,3719,-49.88
Terengganu,2022,10233,175.16
Terengganu,2023,11761,14.92
Kuala Lumpur,2017,19049,
Kuala Lumpur,2018,19165,0.61
Kuala Lumpur,2019,22633,18.09
Kuala Lumpur,2020,12435,-45.06
Kuala Lumpur,2021,9116,-26.69
Kuala Lumpur,2022,16913,85.53
Kuala Lumpur,2023,22233,31.46
Labuan,2017,381,
Labuan,2018,545,43.02
Labuan,2019,524,-3.87
Labuan,2020,107,-79.47
Labuan,2021,54,-49.88
Labuan,2022,244,352.13
Labuan,2023,331,35.97
Putrajaya,2017,1872,
Putrajaya,2018,1892,1.07
Putrajaya,2019,1949,3.01
Putrajaya,2020,451,-76.85
Putrajaya,2021,223,-50.57
Putrajaya,2022,1306,485.55
Putrajaya,2023,1900,45.53
